"Relative Time","Hits"
"00:00","4.625"
"00:16","4.938"
"00:32","5.125"
"00:48","5.438"
"01:04","15.75"
"01:20","10.875"
"01:36","15.438"
"01:52","19.188"
"02:08","15.563"
"02:24","15.5"
"02:40","10.813"
"02:56","8.313"
"03:12","31.875"
"03:28","16.813"
"03:44","19.75"
"04:00","15.438"
"04:16","16.5"
"04:32","10.938"
"04:48","16.5"
"05:04","25.188"
"05:20","17.063"
"05:36","20.063"
"05:52","19.938"
"06:08","12"
"06:24","11.125"
"06:40","28.313"
"06:56","18"
"07:12","12.875"
"07:28","24.125"
"07:44","15.875"
"08:00","17.063"
"08:16","8.938"
"08:32","4.5"
"08:48","4.5"
"09:04","0.25"
"09:20","0.5"
