"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","5.642"
"00:16","","","5.008"
"00:32","","","4.683"
"00:48","","","5.961"
"01:04","","","4.462"
"01:20","","","4.642"
"01:36","","","4.422"
"01:52","","","5.319"
"02:08","18.679","","5.777"
"02:24","11.846","","4.66"
"02:40","11.757","",""
"02:56","11.239","",""
"03:12","10.918","",""
"03:28","11.177","",""
"04:00","15.425","",""
"04:16","11.098","",""
"04:32","10.981","",""
"04:48","10.458","",""
"05:04","10.61","",""
"05:20","10.362","",""
"05:52","10.902","",""
"06:08","11.108","",""
"06:24","13.308","",""
"06:40","11.373","",""
"06:56","11.236","",""
"07:12","10.914","",""
"07:28","11.384","",""
"07:44","11.481","0.898",""
"08:00","11.239","0.868",""
"08:16","13.264","0.875",""
"08:32","11.089","0.865",""
"08:48","11.12","0.891",""
"09:04","12.416","0.905",""
"09:20","","0.855",""
