"Relative Time","Hits"
"00:00","0.375"
"00:16","0.375"
"00:32","0.375"
"00:48","0.375"
"01:04","1.063"
"01:20","1.375"
"01:36","1.688"
"01:52","1.313"
"02:08","0.5"
"02:24","1.688"
"02:40","2.5"
"02:56","1.875"
"03:12","1.813"
"03:28","0.375"
"03:44","1.625"
"04:00","1.875"
"04:16","2.125"
"04:32","2.438"
"04:48","0.375"
"05:04","0.5"
"05:20","2.063"
"05:36","1.875"
"05:52","1.813"
"06:08","1.125"
"06:24","0.125"
"06:40","2.188"
"06:56","1.25"
"07:12","0.875"
"07:28","0.25"
"07:44","0"
"08:00","0"
"08:16","0.688"
"08:32","0.938"
"08:48","0.8"
