"Relative Time","Throughput"
"00:00","11538.31"
"00:16","11538.38"
"00:32","11538.44"
"00:48","11538.44"
"01:04","17935"
"01:20","18308.81"
"01:36","29657.63"
"01:52","18120.19"
"02:08","464.75"
"02:24","12886.81"
"02:40","20320.06"
"02:56","13637.56"
"03:12","13447.75"
"03:28","746.625"
"03:44","13743"
"04:00","14296.69"
"04:16","14113.69"
"04:32","20605.81"
"04:48","746.375"
"05:04","4077.563"
"05:20","16905.75"
"05:36","14112.94"
"05:52","13923.38"
"06:08","7051.375"
"06:24","377.375"
"06:40","18160.63"
"06:56","9690.938"
"07:12","6866.813"
"07:28","184.5"
"07:44","0"
"08:00","0"
"08:16","6871"
"08:32","7056.5"
"08:48","590.6"
